Franchise,Period,Total Cash Inflow,Total Cash Outflow,Net Cash Flow
Type_C,Starting,31980,29055,2925
Type_C,Y1M1,31980,29055,2925
Type_C,Y1M2,57980,47255,10725
Type_C,Y1M3,57460,47385,10075
Type_C,Y1M4,56940,47515,9425
Type_C,Y1M5,56420,47645,8775
Type_C,Y1M6,107900,84175,23725
Type_C,Y1M7,106340,84565,21775
Type_C,Y1M8,104780,84955,19825
Type_C,Y1M9,103220,85345,17875
Type_C,Y1M10,101660,85735,15925
Type_C,Y1M11,126100,104325,21775
Type_C,Y1M12,124540,104715,19825
Type_C,Y2M1,122980,105105,17875
Type_C,Y2M2,160420,132795,27625
Type_C,Y2M3,158080,133380,24700
Type_C,Y2M4,156780,133705,23075
Type_C,Y2M5,155480,134030,21450
Type_C,Y2M6,154180,134355,19825
Type_C,Y2M7,152880,134680,18200
Type_C,Y2M8,151580,135005,16575
Type_C,Y2M9,202800,171600,31200
Type_C,Y2M10,265980,217555,48425
Type_C,Y2M11,262860,218335,44525
Type_C,Y2M12,325520,264420,61100
Type_C,Y3M1,321880,265330,56550
Type_C,Y3M2,318240,266240,52000
Type_C,Y3M3,314600,267150,47450
Type_C,Y3M4,375960,313560,62400
Type_C,Y3M5,371020,314795,56225
Type_C,Y3M6,366080,316030,50050
Type_C,Y3M7,414180,353405,60775
Type_C,Y3M8,410540,354315,56225
Type_C,Y3M9,406900,355225,51675
Type_C,Y3M10,430560,374010,56550
Type_C,Y3M11,427700,374725,52975
Type_C,Y3M12,424840,375440,49400
Type_C,Y4M1,421980,376155,45825
Type_C,Y4M2,420420,376545,43875
Type_C,Y4M3,418860,376935,41925
Type_C,Y4M4,417300,377325,39975
Type_C,Y4M5,416780,377455,39325
Type_C,Y4M6,416260,377585,38675
Type_C,Y4M7,415740,377715,38025
Type_C,Y4M8,415740,377715,38025
Type_C,Y4M9,415740,377715,38025
Type_C,Y4M10,415740,377715,38025
Type_C,Y4M11,415740,377715,38025
Type_C,Y4M12,415740,377715,38025
Type_C,Y5M1,415740,377715,38025
Type_C,Y5M2,415740,377715,38025
Type_C,Y5M3,415740,377715,38025
Type_C,Y5M4,415740,377715,38025
Type_C,Y5M5,415740,377715,38025
Type_C,Y5M6,415740,377715,38025
Type_C,Y5M7,415740,377715,38025
Type_C,Y5M8,415740,377715,38025
Type_C,Y5M9,415740,377715,38025
Type_C,Y5M10,415740,377715,38025
Type_C,Y5M11,415740,377715,38025
Type_C,Y5M12,415740,377715,38025
Type_C,Y6M1,415740,377715,38025
